dateTime,day,dataInstance,checkAircraftBreakdownPeriod,checkAircraftCapacity,checkAircraftCreation,checkAircraftSwap,checkAirportCapacity,checkCancellationofCreatedRotation,checkFixedFlights,checkFlight,checkItinerary,checkPassengerReac,checkRotation,costs
32/32 Remove depInt <> RTW,20210126_2119,A01_6088570,0,0,0,0,0,0,0,0,5281,0,0,31352.85
32/32 Remove depInt <> RTW,20210126_2119,A02_6088570,0,0,0,0,0,0,0,0,5463,0,0,186880.3
32/32 Remove depInt <> RTW,20210126_2119,A03_6088570,0,0,0,0,0,0,0,0,4887,88,0,879348.25
32/32 Remove depInt <> RTW,20210126_2119,A04_6088570,0,0,0,0,0,0,138,0,11385,354,0,453166.65
32/32 Remove depInt <> RTW,20210126_2119,A05_6088570,0,0,0,0,0,0,0,0,22155,14963,0,14686417.2
32/32 Remove depInt <> RTW,20210126_2119,A06_6088590,0,0,0,0,0,0,0,0,3877,0,0,35965.75
32/32 Remove depInt <> RTW,20210126_2119,A07_6088590,0,0,0,0,0,0,0,0,4797,0,0,194550.75
32/32 Remove depInt <> RTW,20210126_2119,A08_6088590,0,0,0,0,0,0,0,0,5482,90,0,1175745.45
32/32 Remove depInt <> RTW,20210126_2119,A09_6088590,0,0,0,0,0,0,138,0,9622,265,0,514985.8
32/32 Remove depInt <> RTW,20210126_2119,A10_6088590,0,0,0,0,0,0,0,0,24106,12043,0,18035545.1
32/32 Remove depInt <> RTW,20210126_2119,B_01,0,0,0,0,0,0,0,0,14133,5645,0,17003379.9
32/32 Remove depInt <> RTW,20210126_2119,B_02,0,0,0,0,0,0,0,0,15569,6630,0,26355191.8
32/32 Remove depInt <> RTW,20210126_2119,B_03,0,0,0,0,0,0,0,0,14813,5555,0,16875549.05
32/32 Remove depInt <> RTW,20210126_2119,B_04,0,0,0,0,0,0,0,0,21103,7976,0,20282190.4
32/32 Remove depInt <> RTW,20210126_2119,B_05,0,0,0,0,0,0,0,0,18876,27063,0,78791860.75
32/32 Remove depInt <> RTW,20210126_2119,B_06,0,0,0,0,0,0,0,0,13618,5474,0,20592662.65
32/32 Remove depInt <> RTW,20210126_2119,B_07,0,0,0,0,0,0,0,0,13951,6370,0,31796925.2
32/32 Remove depInt <> RTW,20210126_2119,B_08,0,0,0,0,0,0,0,0,13958,5608,0,20313346.15
32/32 Remove depInt <> RTW,20210126_2119,B_09,0,0,0,0,0,0,0,0,18208,8123,0,24421705.85
32/32 Remove depInt <> RTW,20210126_2119,B_10,0,0,0,0,0,0,0,0,22097,26615,0,98036740.4
32/32 Remove depInt <> RTW,20210126_2119,X01_DATA,0,0,0,0,0,0,0,0,14865,1257,0,4224252.9
32/32 Remove depInt <> RTW,20210126_2119,X02_DATA,0,0,0,0,0,0,0,0,0,1257,0,3631038.9
32/32 Remove depInt <> RTW,20210126_2119,X03_DATA,0,0,0,0,0,0,0,0,19792,1031,0,3919928.7
32/32 Remove depInt <> RTW,20210126_2119,X04_DATA,0,0,0,0,0,0,0,0,0,807,0,2624875.1
32/32 Remove depInt <> RTW,20210126_2119,XA01_DATA,0,0,0,0,0,0,0,0,4887,178,0,1379218.0
32/32 Remove depInt <> RTW,20210126_2119,XA02_DATA,0,0,0,0,0,0,0,0,21456,17787,0,16773024.15
32/32 Remove depInt <> RTW,20210126_2119,XA03_DATA,0,0,0,0,0,0,0,0,5482,403,0,1896373.15
32/32 Remove depInt <> RTW,20210126_2119,XA04_DATA,0,0,0,0,0,0,0,0,21476,12443,0,20102800.0
32/32 Remove depInt <> RTW,20210126_2119,XB01_DATA,0,0,0,0,0,0,0,0,16343,6275,0,19096769.85
32/32 Remove depInt <> RTW,20210126_2119,XB02_DATA,0,0,0,0,0,0,0,0,18963,26430,0,78476131.1
32/32 Remove depInt <> RTW,20210126_2119,XB03_DATA,0,0,0,0,0,0,0,0,15488,7000,0,25022557.3
32/32 Remove depInt <> RTW,20210126_2119,XB04_DATA,0,0,0,0,0,0,0,0,23113,26740,0,98036314.7
